index;macs;params
head;121425920;9472
(2, 1);235225088;74368
(2, 2);221577216;70016
(2, 3);221577216;70016
(3, 1);297443328;378112
(3, 2);219971584;279296
(3, 3);219971584;279296
(3, 4);219971584;279296
(4, 1);296439808;1509888
(4, 2);219168768;1115648
(4, 3);219168768;1115648
(4, 4);219168768;1115648
(4, 5);219168768;1115648
(4, 6);219168768;1115648
(4, 7);219168768;1115648
(4, 8);219168768;1115648
(4, 9);219168768;1115648
(4, 10);219168768;1115648
(4, 11);219168768;1115648
(4, 12);219168768;1115648
(4, 13);219168768;1115648
(4, 14);219168768;1115648
(4, 15);219168768;1115648
(4, 16);219168768;1115648
(4, 17);219168768;1115648
(4, 18);219168768;1115648
(4, 19);219168768;1115648
(4, 20);219168768;1115648
(4, 21);219168768;1115648
(4, 22);219168768;1115648
(4, 23);219168768;1115648
(5, 1);295938048;6034432
(5, 2);218767360;4459520
(5, 3);218767360;4459520
tail;2193544;2049000
